,segment,x_point,y_point,mapped_points_start,mapped_points_end,mask_mapped_points_start,mask_mapped_points_end,maped_points
0,pallu-bottom,423,2135,"[0, 2160]","[2160, 2160]","[423, 2135]","[1435, 2019]","[0, 2160]"
1,pallu-bottom,533,2137,"[0, 2160]","[2160, 2160]","[423, 2135]","[1435, 2019]","[234, 2160]"
2,pallu-bottom,661,2137,"[0, 2160]","[2160, 2160]","[423, 2135]","[1435, 2019]","[507, 2160]"
3,pallu-bottom,775,2133,"[0, 2160]","[2160, 2160]","[423, 2135]","[1435, 2019]","[751, 2160]"
4,pallu-bottom,886,2124,"[0, 2160]","[2160, 2160]","[423, 2135]","[1435, 2019]","[988, 2160]"
5,pallu-bottom,1009,2114,"[0, 2160]","[2160, 2160]","[423, 2135]","[1435, 2019]","[1250, 2160]"
6,pallu-bottom,1131,2101,"[0, 2160]","[2160, 2160]","[423, 2135]","[1435, 2019]","[1511, 2160]"
7,pallu-bottom,1244,2078,"[0, 2160]","[2160, 2160]","[423, 2135]","[1435, 2019]","[1752, 2160]"
8,pallu-bottom,1329,2046,"[0, 2160]","[2160, 2160]","[423, 2135]","[1435, 2019]","[1933, 2160]"
9,pallu-bottom,1435,2019,"[0, 2160]","[2160, 2160]","[423, 2135]","[1435, 2019]","[2160, 2160]"
10,pallu-top,429,724,"[0, 0]","[2160, 0]","[429, 724]","[754, 552]","[0, 0]"
11,pallu-top,505,663,"[0, 0]","[2160, 0]","[429, 724]","[754, 552]","[505, 0]"
12,pallu-top,609,606,"[0, 0]","[2160, 0]","[429, 724]","[754, 552]","[1196, 0]"
13,pallu-right,754,552,"[2160, 0]","[2160, 2160]","[754, 552]","[1435, 2019]","[2160, 0]"
14,pallu-left,447,886,"[0, 0]","[0, 2160]","[432, 724]","[422, 2131]","[0, 248]"
15,pallu-left,449,1079,"[0, 0]","[0, 2160]","[432, 724]","[422, 2131]","[0, 544]"
16,pallu-left,447,1316,"[0, 0]","[0, 2160]","[432, 724]","[422, 2131]","[0, 908]"
17,pallu-left,442,1525,"[0, 0]","[0, 2160]","[432, 724]","[422, 2131]","[0, 1229]"
18,pallu-left,437,1716,"[0, 0]","[0, 2160]","[432, 724]","[422, 2131]","[0, 1522]"
19,pallu-left,432,1902,"[0, 0]","[0, 2160]","[432, 724]","[422, 2131]","[0, 1808]"
20,pallu-right,799,730,"[2160, 0]","[2160, 2160]","[754, 552]","[1435, 2019]","[2160, 262]"
21,pallu-right,834,856,"[2160, 0]","[2160, 2160]","[754, 552]","[1435, 2019]","[2160, 447]"
22,pallu-right,879,987,"[2160, 0]","[2160, 2160]","[754, 552]","[1435, 2019]","[2160, 640]"
23,pallu-right,933,1113,"[2160, 0]","[2160, 2160]","[754, 552]","[1435, 2019]","[2160, 826]"
24,pallu-right,983,1234,"[2160, 0]","[2160, 2160]","[754, 552]","[1435, 2019]","[2160, 1004]"
25,pallu-right,1046,1374,"[2160, 0]","[2160, 2160]","[754, 552]","[1435, 2019]","[2160, 1210]"
26,pallu-right,1137,1541,"[2160, 0]","[2160, 2160]","[754, 552]","[1435, 2019]","[2160, 1456]"
27,pallu-right,1206,1675,"[2160, 0]","[2160, 2160]","[754, 552]","[1435, 2019]","[2160, 1653]"
28,pallu-right,1294,1815,"[2160, 0]","[2160, 2160]","[754, 552]","[1435, 2019]","[2160, 1859]"
29,pallu-right,1380,1923,"[2160, 0]","[2160, 2160]","[754, 552]","[1435, 2019]","[2160, 2018]"
30,pallu-top,754,552,"[0, 0]","[2160, 0]","[429, 724]","[754, 552]","[2160, 0]"
31,pallu-left,432,724,"[0, 0]","[0, 2160]","[432, 724]","[422, 2131]","[0, 0]"
32,pallu-left,422,2131,"[0, 0]","[0, 2160]","[432, 724]","[422, 2131]","[0, 2160]"
33,pallu-right,1435,2019,"[2160, 0]","[2160, 2160]","[754, 552]","[1435, 2019]","[2160, 2160]"
